sceneName,s1_start,s1_end,s1_url,cs2_path,cs2_time_min,cs2_time_max,num_matched_points
S1A_IW_GRDH_1SDH_20230616T122721_20230616T122746_049011_05E4CD_8394,2023-06-16 12:27:21,2023-06-16 12:27:46,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDH_20230616T122721_20230616T122746_049011_05E4CD_8394.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230616T121210_20230616T121617_E001.nc,2023-06-16 12:14:14.445448960,2023-06-16 12:14:41.424177024,31
S1A_IW_GRDH_1SDH_20230616T122652_20230616T122721_049011_05E4CD_9EAF,2023-06-16 12:26:52,2023-06-16 12:27:21,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDH_20230616T122652_20230616T122721_049011_05E4CD_9EAF.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230616T121210_20230616T121617_E001.nc,2023-06-16 12:14:42.321984000,2023-06-16 12:15:12.895287040,35
S1A_EW_GRDM_1SDH_20230616T122551_20230616T122645_049011_05E4CC_2F00,2023-06-16 12:25:51,2023-06-16 12:26:45,https://datapool.asf.alaska.edu/GRD_MD/SA/S1A_EW_GRDM_1SDH_20230616T122551_20230616T122645_049011_05E4CC_2F00.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230616T103225_20230616T103731_E001.nc,2023-06-16 10:36:32.424830976,2023-06-16 10:36:32.424830976,1
S1A_EW_GRDM_1SDH_20230616T122551_20230616T122645_049011_05E4CC_2F00,2023-06-16 12:25:51,2023-06-16 12:26:45,https://datapool.asf.alaska.edu/GRD_MD/SA/S1A_EW_GRDM_1SDH_20230616T122551_20230616T122645_049011_05E4CC_2F00.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230616T121210_20230616T121617_E001.nc,2023-06-16 12:15:21.893876992,2023-06-16 12:15:23.692888064,3
S1A_IW_GRDH_1SDH_20230616T122528_20230616T122545_049011_05E4CB_5A5A,2023-06-16 12:25:28,2023-06-16 12:25:45,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDH_20230616T122528_20230616T122545_049011_05E4CB_5A5A.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230616T103225_20230616T103731_E001.nc,2023-06-16 10:37:01.206326912,2023-06-16 10:37:04.805419008,5
S1A_IW_GRDH_1SDH_20230616T122459_20230616T122528_049011_05E4CB_B569,2023-06-16 12:24:59,2023-06-16 12:25:28,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDH_20230616T122459_20230616T122528_049011_05E4CB_B569.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230616T103225_20230616T103731_E001.nc,2023-06-16 10:37:05.706065024,2023-06-16 10:37:47.113059072,47
S1A_EW_GRDM_1SDH_20230615T150257_20230615T150330_048998_05E46D_0ECF,2023-06-15 15:02:57,2023-06-15 15:03:30,https://datapool.asf.alaska.edu/GRD_MD/SA/S1A_EW_GRDM_1SDH_20230615T150257_20230615T150330_048998_05E46D_0ECF.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230615T143327_20230615T144442_E001.nc,2023-06-15 14:44:40.381760896,2023-06-15 14:45:16.380313984,41
S1A_EW_GRDM_1SDH_20230615T150153_20230615T150257_048998_05E46D_1BE5,2023-06-15 15:01:53,2023-06-15 15:02:57,https://datapool.asf.alaska.edu/GRD_MD/SA/S1A_EW_GRDM_1SDH_20230615T150153_20230615T150257_048998_05E46D_1BE5.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230615T130225_20230615T130621_E001.nc,2023-06-15 13:06:27.115350912,2023-06-15 13:06:40.621516032,16
S1A_EW_GRDM_1SDH_20230615T150153_20230615T150257_048998_05E46D_1BE5,2023-06-15 15:01:53,2023-06-15 15:02:57,https://datapool.asf.alaska.edu/GRD_MD/SA/S1A_EW_GRDM_1SDH_20230615T150153_20230615T150257_048998_05E46D_1BE5.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230615T143327_20230615T144442_E001.nc,2023-06-15 14:45:17.280459008,2023-06-15 14:45:18.180598912,2
S1A_EW_GRDM_1SDH_20230615T114457_20230615T114601_048996_05E45F_7371,2023-06-15 11:44:57,2023-06-15 11:46:01,https://datapool.asf.alaska.edu/GRD_MD/SA/S1A_EW_GRDM_1SDH_20230615T114457_20230615T114601_048996_05E45F_7371.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230615T112542_20230615T112756_E001.nc,2023-06-15 11:26:19.078269056,2023-06-15 11:27:04.090329088,51
